id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Augusta;Wintheiser;MALE;Fay_Price89@gmail.com;(847) 868-0917 x86650;Unbranded invoice;clear-thinking;South Jean;Papua New Guinea;1
2;Macie;Ziemann;MALE;Dave17@gmail.com;1-367-876-3550 x5362;Persevering;Coordinator Cambridgeshire Investor;Lake Federico;Libyan Arab Jamahiriya;2
3;Kirsten;Ortiz;MALE;Earl76@yahoo.com;019-949-2983 x7099;architectures;Wisconsin Facilitator Incredible;West Claud;Svalbard & Jan Mayen Islands;1
4;Emile;Kuhic;MALE;Tremayne_Sporer57@yahoo.com;(026) 693-1252;portal calculating Metal;real-time discrete redundant;Gaylordhaven;Namibia;2
5;Arnaldo;Langosh;MALE;Clemmie70@hotmail.com;708.830.3504;Argentine Peso implementation;Wallis and Futuna;Lake Lance;Sweden;1
6;Demarco;Bashirian;MALE;Kaitlyn52@yahoo.com;722-964-0801 x54566;panel;Analyst card Licensed Cotton Ball;South Natalie;Belarus;1
7;Alda;Denesik;MALE;Chadd44@gmail.com;(250) 716-9269;alarm Jamaica;system Gorgeous Rubber Pants;Lake Blanchetown;Grenada;1
8;Audreanne;Bayer;MALE;Chanelle9@hotmail.com;484.314.4630 x6968;explicit;Personal Loan Account;Jevonhaven;Maldives;2
9;Mark;Cruickshank;MALE;Lou_Weimann67@yahoo.com;561.485.8963;Branding Dynamic black;yellow;North Alison;Bermuda;2
10;Marjolaine;Harvey;MALE;Rosalyn34@yahoo.com;224-166-3698 x07489;China;quantify multi-byte;Rennerbury;Brunei Darussalam;1
